product_name,player,category,campaign,ad_link
Ben Griffin Polo,Ben Griffin,polos,ig-ben-griffin-polo,https://tourpro.shop/products/ben-griffin-polo?ad=ig-ben-griffin-polo
James Nicholas Polo,James Nicholas,polos,ig-james-nicholas-polo,https://tourpro.shop/products/james-nicholas-polo?ad=ig-james-nicholas-polo
Keith Mitchell Visor,Keith Mitchell,headwear,ig-keith-mitchell-visor,https://tourpro.shop/products/keith-mitchell-visor?ad=ig-keith-mitchell-visor
Cameron Young Polo,Cameron Young,polos,ig-cameron-young-polo,https://tourpro.shop/products/cameron-young-polo?ad=ig-cameron-young-polo
Sungjae Im Polo,Sungjae Im,polos,ig-sungjae-im-polo,https://tourpro.shop/products/sungjae-im-polo?ad=ig-sungjae-im-polo
Si Woo Kim Polo,Si Woo Kim,polos,ig-si-woo-kim-polo,https://tourpro.shop/products/si-woo-kim-polo?ad=ig-si-woo-kim-polo
Min Woo Lee Track Jacket,Min Woo Lee,outerwear,ig-min-woo-lee-track-jacket,https://tourpro.shop/products/min-woo-lee-track-jacket?ad=ig-min-woo-lee-track-jacket
Jackson Koivun Polo,Jackson Koivun,polos,ig-jackson-koivun-polo,https://tourpro.shop/products/jackson-koivun-polo?ad=ig-jackson-koivun-polo
Wyndham Clark Polo,Wyndham Clark,polos,ig-wyndham-clark-polo,https://tourpro.shop/products/wyndham-clark-polo?ad=ig-wyndham-clark-polo
Sam Burns Polo,Sam Burns,polos,ig-sam-burns-polo,https://tourpro.shop/products/sam-burns-polo?ad=ig-sam-burns-polo
JJ Spaun Polo,JJ Spaun,polos,ig-jj-spaun-polo,https://tourpro.shop/products/jj-spaun-polo?ad=ig-jj-spaun-polo
